batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Ab Mcdonald,123,103,9,119.41747572815532,110.88349514563106,0
Arshad Khan,119,90,10,132.22222222222223,110.74444444444444,4
Dl Chahar,117,86,16,136.04651162790697,110.70930232558138,4
Bb Samantray,125,116,8,107.75862068965519,109.85172413793104,0
Mm Sharma,125,140,30,89.28571428571429,108.35714285714286,0
Lj Wright,106,63,5,168.25396825396825,108.35079365079363,4
Tg Southee,120,108,19,111.11111111111111,108.12222222222223,0
P Dogra,127,141,12,90.0709219858156,108.11418439716311,0
Harpreet Singh,123,119,8,103.36134453781514,107.57226890756301,0
Mc Juneja,125,134,7,93.28358208955224,106.85671641791045,0
Dl Vettori,121,118,16,102.54237288135593,106.80847457627117,0
Mw Short,117,99,6,118.18181818181819,106.13636363636363,0
Rj Harris,117,112,21,104.46428571428572,104.89285714285714,0
Nk Patel,121,124,6,97.58064516129032,104.81612903225805,0
Djm Short,115,102,7,112.74509803921569,103.74901960784314,0
Aman Hakim Khan,115,109,10,105.50458715596329,102.60091743119266,0
M Kartik,113,109,14,103.6697247706422,101.23394495412845,0
Z Khan,117,141,27,82.97872340425532,101.19574468085106,0
Dj Harris,111,103,4,107.76699029126213,99.65339805825242,0
Mj Santner,110,111,19,99.09909909909909,98.71981981981983,0
Ma Starc,111,120,21,92.5,98.29999999999998,0
Mohammed Siraj,112,127,21,88.18897637795276,98.13779527559053,0
Ms Gony,99,76,15,130.26315789473685,96.85263157894737,4
Azmatullah Omarzai,99,77,9,128.57142857142858,95.91428571428573,0
Jdp Oram,106,110,11,96.36363636363636,94.57272727272726,0
Pn Mankad,97,75,5,129.33333333333331,94.26666666666665,0
Ds Kulkarni,104,113,20,92.03539823008849,93.20707964601769,0
Shahid Afridi,81,46,9,176.08695652173913,92.81739130434784,4
Rj Quiney,103,105,7,98.09523809523809,92.41904761904762,0
Sd Chitnis,99,92,8,107.6086956521739,91.62173913043478,0
Phkd Mendis,92,72,5,127.77777777777777,90.45555555555555,0
Mj Clarke,98,96,6,102.08333333333333,89.61666666666666,0
Aj Tye,91,79,13,115.18987341772151,88.0379746835443,0
Urvil Patel,68,34,3,200.0,87.89999999999999,4
Ankit Sharma,87,69,10,126.08695652173914,87.11739130434782,0
S Rana,91,82,8,110.97560975609757,86.6951219512195,0
Cj Ferguson,98,119,8,82.35294117647058,85.87058823529411,0
